jtc_id,is_client,name
JTC000736,0,Management Support
JTC001142,0,Manco Abbott Real Estate Management
JTC000103,1,Mandel
JTC001226,0,Manhattan Management
JTC001227,0,Mantle Finance Group
JTC000836,0,Mark III Mgmt. Corp.
JTC000064,0,Mark Taylor Apartments
JTC000231,0,Marquette Companies
JTC000737,0,Marquis Investments
JTC001028,0,Marquis Management Co
JTC001143,0,Marsh Properties
JTC000232,1,Martin Fein Interests Ltd
JTC000760,0,Martine Properties
JTC001029,0,Maryland Management
JTC001030,0,Mason Properties
JTC000330,0,Matrix Residential
JTC000569,0,Maven Management
JTC000122,1,Maxus Properties
JTC000738,0,Maxx Properties
JTC000233,0,MC Companies
JTC000109,1,McCaffery Interests
JTC001144,0,Mcclain Barr & Associates
JTC000837,0,McCormack Baron & Ragan Mgmt Services
JTC000838,0,McCullough Development
JTC000570,0,Mcdougal Properties
JTC000571,0,Mckenzie Apartment Company
JTC000065,0,McKinley
JTC001228,0,Mckinney Properties Inc.
JTC001031,0,MCLife
JTC000441,0,MCLife
JTC000164,1,McWhinney
JTC000066,0,MEB
JTC001229,0,Medve Group
JTC001230,0,Melo Group
JTC000739,0,Merge Management
JTC001145,0,Meridian Residential Group
JTC000234,0,Merion Realty LLC
JTC000466,0,Metro Loft Management
JTC000740,0,Metroplex
JTC001118,0,Metropolitan Properties of America
JTC000370,0,MG Properties
JTC000235,1,Michael Stevens Interests
JTC001231,0,Michaelson Group Real Estate
JTC000839,0,Mid-American
JTC000151,0,Mid-Continent Management
JTC000741,0,Middleburg Management
JTC000467,0,Middlesex Management
JTC000236,0,Midway Companies
JTC001119,0,Migneault Properties
JTC000885,0,Mike Herald Management
JTC000068,1,Milestone Management
JTC000541,1,Milhaus
JTC000237,0,Mill Creek Residential Trust
JTC001032,0,Millcraft Investments
JTC000572,0,Millennium
JTC000414,0,Miller Valentine Group
JTC000118,0,Mills
JTC000419,0,Milstein Properties/Milford Management
JTC000425,1,Mission Rock Residential
JTC001146,0,Mockingbird Management
JTC000468,0,Moinian Group
JTC000482,0,Monarch Investment & Management Group
JTC000551,0,Monarch Properties
JTC000183,0,Monogram Residential Trust
JTC001033,0,Montgomery Realtors
JTC001147,0,Monticello Asset Management
JTC000742,0,Monument Real Estate
JTC001034,0,Morgan Communities
JTC000069,1,Morgan Properties
JTC000306,1,Morganton Development
JTC001232,0,Morgenson Realty
JTC000573,0,Morguard
JTC000238,1,Mosaic Residential Inc
JTC001035,0,Moseley Trust
JTC000761,0,Moss & Company
JTC000762,0,Mosser Companies
JTC000519,0,Multi Housing Advisors
JTC000886,0,Multi-Family Mission Ministries Inc
JTC000840,0,Multifamily Management
JTC000745,1,Murn Management
JTC000763,0,My Niche Apartments
JTC000764,0,My Perfect Place
JTC000841,0,My Student Village
JTC000239,0,Myan Management Group
JTC000574,0,NALS Apartment Homes
JTC000630,0,Naperville Elderly Homes
JTC000842,0,National Asset Services
JTC000949,1,National Development
